"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/1999","0.83","0.80","0.83","0.79","312.51M","3.75%"
"11/18/1999","0.80","0.81","0.81","0.79","364.78M","-1.23%"
"11/17/1999","0.81","0.81","0.85","0.80","364.57M","0.00%"
"11/16/1999","0.81","0.80","0.82","0.79","233.86M","1.25%"
"11/15/1999","0.80","0.80","0.83","0.79","259.91M","-1.23%"
"11/12/1999","0.81","0.82","0.82","0.78","279.06M","-1.22%"
"11/11/1999","0.82","0.82","0.83","0.80","269.88M","0.00%"
"11/10/1999","0.82","0.79","0.83","0.79","577.90M","2.50%"
"11/09/1999","0.80","0.84","0.84","0.79","809.18M","-6.98%"
"11/08/1999","0.86","0.78","0.87","0.77","950.93M","8.86%"
"11/05/1999","0.79","0.76","0.79","0.75","416.81M","5.33%"
"11/04/1999","0.75","0.73","0.76","0.72","379.09M","2.74%"
"11/03/1999","0.73","0.73","0.74","0.72","328.46M","1.39%"
"11/02/1999","0.72","0.70","0.73","0.69","399.24M","4.35%"
"11/01/1999","0.69","0.71","0.72","0.69","278.58M","-4.17%"
"10/29/1999","0.72","0.70","0.72","0.70","523.05M","2.86%"
"10/28/1999","0.70","0.69","0.71","0.68","504.09M","2.94%"
"10/27/1999","0.68","0.66","0.68","0.66","443.07M","1.49%"
"10/26/1999","0.67","0.67","0.67","0.65","361.44M","0.00%"
"10/25/1999","0.67","0.66","0.68","0.66","326.59M","1.52%"
"10/22/1999","0.66","0.69","0.69","0.66","419.51M","-2.94%"
"10/21/1999","0.68","0.65","0.69","0.65","793.45M","1.49%"
"10/20/1999","0.67","0.62","0.67","0.62","1.08B","9.84%"
"10/19/1999","0.61","0.64","0.67","0.61","1.02B","-6.15%"
"10/18/1999","0.65","0.66","0.66","0.64","776.41M","-2.99%"
"10/15/1999","0.67","0.64","0.68","0.63","1.17B","3.08%"
"10/14/1999","0.65","0.62","0.65","0.62","1.90B","14.04%"
"10/13/1999","0.57","0.59","0.62","0.57","636.73M","-5.00%"
"10/12/1999","0.60","0.61","0.62","0.60","563.75M","0.00%"
"10/11/1999","0.60","0.59","0.61","0.59","263.12M","1.69%"
"10/08/1999","0.59","0.59","0.59","0.57","382.81M","0.00%"
"10/07/1999","0.59","0.61","0.61","0.58","605.89M","-1.67%"
"10/06/1999","0.60","0.62","0.62","0.60","804.27M","-1.64%"
"10/05/1999","0.61","0.59","0.61","0.58","814.21M","5.17%"
"10/04/1999","0.58","0.56","0.58","0.56","459.36M","5.45%"
"10/01/1999","0.55","0.55","0.56","0.53","614.79M","-3.51%"
"09/30/1999","0.57","0.53","0.57","0.53","908.09M","7.55%"
"09/29/1999","0.53","0.54","0.55","0.52","657.28M","0.00%"
"09/28/1999","0.53","0.55","0.55","0.51","1.41B","-3.64%"
"09/27/1999","0.55","0.59","0.60","0.55","948.19M","-5.17%"
"09/24/1999","0.58","0.57","0.60","0.56","1.18B","1.75%"
"09/23/1999","0.57","0.64","0.64","0.56","1.14B","-9.52%"
"09/22/1999","0.63","0.62","0.64","0.62","1.12B","1.61%"
"09/21/1999","0.62","0.65","0.65","0.62","3.36B","-12.68%"
"09/20/1999","0.71","0.69","0.72","0.69","456.67M","2.90%"
"09/17/1999","0.69","0.69","0.69","0.68","277.28M","0.00%"
"09/16/1999","0.69","0.68","0.70","0.66","441.89M","2.99%"
"09/15/1999","0.67","0.70","0.71","0.67","359.58M","-2.90%"
"09/14/1999","0.69","0.67","0.70","0.67","388.29M","2.99%"
"09/13/1999","0.67","0.69","0.69","0.67","252.00M","-2.90%"
"09/10/1999","0.69","0.68","0.69","0.67","458.76M","2.99%"
"09/09/1999","0.67","0.67","0.68","0.66","534.08M","0.00%"
"09/08/1999","0.67","0.68","0.69","0.67","762.21M","-1.47%"
"09/07/1999","0.68","0.66","0.70","0.66","984.79M","3.03%"
"09/03/1999","0.66","0.64","0.67","0.63","1.64B","4.76%"
"09/02/1999","0.63","0.60","0.64","0.60","895.15M","3.28%"
"09/01/1999","0.61","0.60","0.61","0.59","788.63M","5.17%"
"08/31/1999","0.58","0.56","0.59","0.55","634.55M","5.45%"
"08/30/1999","0.55","0.58","0.58","0.55","336.59M","-5.17%"
"08/27/1999","0.58","0.56","0.58","0.56","446.84M","5.45%"
"08/26/1999","0.55","0.55","0.56","0.55","404.49M","0.00%"
"08/25/1999","0.55","0.54","0.55","0.54","295.17M","1.85%"
"08/24/1999","0.54","0.54","0.54","0.54","502.26M","0.00%"
"08/23/1999","0.54","0.53","0.55","0.53","355.57M","1.89%"
"08/20/1999","0.53","0.53","0.53","0.52","327.95M","1.92%"
"08/19/1999","0.52","0.53","0.54","0.52","550.02M","-3.70%"
"08/18/1999","0.54","0.54","0.55","0.53","468.57M","0.00%"
"08/17/1999","0.54","0.54","0.54","0.53","320.94M","0.00%"
"08/16/1999","0.54","0.53","0.54","0.53","276.93M","0.00%"
"08/13/1999","0.54","0.54","0.55","0.53","298.44M","0.00%"
"08/12/1999","0.54","0.53","0.55","0.52","666.11M","1.89%"
"08/11/1999","0.53","0.50","0.53","0.50","850.34M","8.16%"
"08/10/1999","0.49","0.48","0.50","0.48","416.23M","0.00%"
"08/09/1999","0.49","0.49","0.49","0.48","233.29M","2.08%"
"08/06/1999","0.48","0.48","0.49","0.48","435.56M","-2.04%"
"08/05/1999","0.49","0.48","0.49","0.47","322.54M","2.08%"
"08/04/1999","0.48","0.49","0.50","0.48","371.43M","-2.04%"
"08/03/1999","0.49","0.51","0.51","0.48","368.38M","-2.00%"
"08/02/1999","0.50","0.50","0.52","0.50","362.44M","0.00%"
"07/30/1999","0.50","0.49","0.50","0.49","383.14M","4.17%"
"07/29/1999","0.48","0.48","0.49","0.47","275.48M","-2.04%"
"07/28/1999","0.49","0.48","0.49","0.47","328.91M","2.08%"
"07/27/1999","0.48","0.47","0.48","0.47","395.91M","6.67%"
"07/26/1999","0.45","0.47","0.47","0.45","351.19M","-6.25%"
"07/23/1999","0.48","0.47","0.48","0.47","229.05M","2.13%"
"07/22/1999","0.47","0.48","0.48","0.46","406.73M","-2.08%"
"07/21/1999","0.48","0.48","0.49","0.47","718.17M","2.13%"
"07/20/1999","0.47","0.49","0.50","0.47","442.08M","-4.08%"
"07/19/1999","0.49","0.48","0.50","0.47","561.30M","4.26%"
"07/16/1999","0.47","0.48","0.49","0.47","411.50M","-2.08%"
"07/15/1999","0.48","0.50","0.50","0.46","1.69B","-4.00%"
"07/14/1999","0.50","0.49","0.51","0.49","624.56M","4.17%"
"07/13/1999","0.48","0.48","0.48","0.47","283.26M","-2.04%"
"07/12/1999","0.49","0.50","0.50","0.48","303.91M","-2.00%"
"07/09/1999","0.50","0.49","0.50","0.47","608.70M","2.04%"
"07/08/1999","0.49","0.46","0.49","0.45","1.63B","8.89%"
"07/07/1999","0.45","0.42","0.45","0.42","1.10B","7.14%"
"07/06/1999","0.42","0.41","0.43","0.41","453.81M","2.44%"
"07/02/1999","0.41","0.41","0.42","0.40","123.68M","2.50%"
"07/01/1999","0.40","0.41","0.42","0.40","149.22M","-2.44%"
"06/30/1999","0.41","0.41","0.42","0.40","343.27M","0.00%"
"06/29/1999","0.41","0.38","0.41","0.38","380.39M","7.89%"
"06/28/1999","0.38","0.38","0.38","0.38","277.69M","0.00%"
"06/25/1999","0.38","0.38","0.38","0.38","294.13M","0.00%"
"06/24/1999","0.38","0.39","0.39","0.38","433.36M","-2.56%"
"06/23/1999","0.39","0.40","0.40","0.39","531.50M","-4.88%"
"06/22/1999","0.41","0.41","0.42","0.41","151.08M","-2.38%"
"06/21/1999","0.42","0.42","0.42","0.41","135.15M","0.00%"
"06/18/1999","0.42","0.41","0.42","0.40","208.06M","2.44%"
"06/17/1999","0.41","0.43","0.43","0.41","224.40M","-4.65%"
"06/16/1999","0.43","0.41","0.43","0.41","225.02M","4.88%"
"06/15/1999","0.41","0.40","0.42","0.40","130.39M","0.00%"
"06/14/1999","0.41","0.42","0.42","0.40","157.08M","0.00%"
"06/11/1999","0.41","0.43","0.43","0.41","185.05M","-4.65%"
"06/10/1999","0.43","0.43","0.43","0.42","317.05M","0.00%"
"06/09/1999","0.43","0.42","0.43","0.42","353.79M","0.00%"
